fecha,hora,parametro,value
2023-11-19,21:17,power_1,-0.010354
2023-11-19,22:17,power_1,-0.012942
2023-11-19,23:17,power_1,-0.012618
2023-11-20,00:17,power_1,-0.011971
2023-11-20,01:17,power_1,-0.011648
2023-11-20,02:17,power_1,-0.01003
2023-11-20,03:17,power_1,-0.009059
2023-11-20,04:17,power_1,-0.012618
2023-11-20,05:17,power_1,-0.012942
2023-11-20,06:17,power_1,-0.013589
2023-11-20,07:17,power_1,-0.009706
2023-11-20,08:17,power_1,-0.011324
2023-11-20,09:17,power_1,-0.010354
2023-11-20,10:17,power_1,-0.01003
2023-11-20,11:17,power_1,-0.011971
2023-11-20,12:17,power_1,-0.011001
2023-11-20,13:17,power_1,-0.011324
2023-11-20,14:17,power_1,-0.010354
2023-11-20,15:17,power_1,-0.011648
2023-11-20,16:17,power_1,-0.012295
2023-11-20,17:17,power_1,-0.011324
2023-11-20,18:17,power_1,-0.011324
2023-11-20,19:17,power_1,-0.013589
2023-11-20,20:17,power_1,-0.011648
2023-11-20,21:17,power_1,-0.011001
2023-11-20,22:17,power_1,-0.009706
2023-11-20,23:17,power_1,-0.012942
2023-11-21,00:17,power_1,-0.011971
2023-11-21,23:24,power_1,-0.008412
2023-11-22,00:24,power_1,-0.008412
2023-11-22,01:24,power_1,-0.011648
2023-11-22,02:24,power_1,-0.010354
2023-11-22,03:24,power_1,-0.010677
2023-11-22,04:24,power_1,-0.011324
2023-11-22,05:24,power_1,-0.010677
2023-11-22,06:24,power_1,-0.011971
2023-11-22,07:24,power_1,-0.012618
2023-11-22,08:24,power_1,-0.011971
2023-11-22,09:24,power_1,-0.011324
2023-11-22,10:24,power_1,-0.011001
2023-11-22,11:24,power_1,-0.011001
2023-11-22,12:24,power_1,-0.009383
2023-11-22,13:24,power_1,-0.012618
2023-11-22,14:24,power_1,-0.013913
2023-11-22,15:24,power_1,-0.010677
2023-11-22,16:24,power_1,-0.011648
2023-11-22,17:24,power_1,-0.01003
2023-11-22,18:24,power_1,-0.01003
2023-11-22,19:24,power_1,-0.009706
2023-11-22,20:24,power_1,-0.010354
2023-11-22,21:24,power_1,-0.013913
2023-11-22,22:24,power_1,-0.012618
2023-11-22,23:24,power_1,-0.009706
2023-11-23,00:24,power_1,-0.010354
2023-11-23,01:24,power_1,-0.011648
2023-11-23,02:24,power_1,-0.010354
2023-11-23,03:24,power_1,-0.011971
2023-11-23,04:24,power_1,-0.010677
2023-11-23,05:24,power_1,-0.011001
2023-11-23,06:24,power_1,-0.008412
2023-11-23,07:24,power_1,-0.008736
2023-11-23,08:24,power_1,-0.011971
2023-11-23,09:24,power_1,-0.01003
2023-11-23,10:24,power_1,-0.011971
2023-11-23,11:24,power_1,-0.011001
2023-11-23,12:24,power_1,-0.013266
2023-11-23,13:24,power_1,-0.011001
2023-10-29,00:24,power_1,-0.013266
2023-10-29,01:24,power_1,-0.012942
2023-10-29,02:12,power_1,-0.011971
2023-10-29,02:42,power_1,-0.013913
2023-10-29,03:24,power_1,-0.014236
2023-10-29,04:24,power_1,-0.013266
2023-10-29,05:24,power_1,-0.013913
2023-10-29,06:24,power_1,-0.012618
2023-10-29,07:24,power_1,-0.013913
2023-10-29,08:24,power_1,-0.012942
2023-10-29,09:24,power_1,-0.013913
2023-10-29,10:24,power_1,-0.01456
2023-10-29,11:24,power_1,-0.013266
2023-10-29,12:24,power_1,-0.012295
2023-10-29,13:24,power_1,-0.012295
2023-10-29,14:24,power_1,-0.011971
2023-10-29,15:24,power_1,-0.013589
2023-10-29,16:24,power_1,-0.014883
2023-10-29,17:24,power_1,-0.01553
2023-10-29,18:24,power_1,-0.012618
2023-10-29,19:24,power_1,-0.01456
2023-10-29,20:24,power_1,-0.013266
2023-10-29,21:24,power_1,-0.013913
2023-10-29,22:24,power_1,-0.013266
2023-10-29,23:24,power_1,-0.014236
2023-10-30,00:24,power_1,-0.013589
2023-10-30,01:24,power_1,-0.014883
2023-10-30,02:24,power_1,-0.013266
2023-10-30,03:24,power_1,-0.013913
2023-10-30,04:24,power_1,-0.012942
2023-10-30,05:24,power_1,-0.014236
2023-10-30,06:24,power_1,-0.013913
2023-10-30,07:24,power_1,-0.012295
2023-10-30,08:24,power_1,-0.012295
2023-10-30,09:24,power_1,-0.012942
2023-10-30,10:24,power_1,-0.012942
2023-10-30,11:24,power_1,-0.012295
2023-10-30,12:24,power_1,-0.012942
2023-10-30,13:24,power_1,-0.011971
2023-10-30,14:24,power_1,-0.013266
2023-10-30,15:24,power_1,-0.013266
